DATE,DAY,MONTH,YEAR,COMPANY,LINE_ID,TICKETS
2020-01-07,7,1,2020,25 DE MAYO,581,11254
2020-01-07,7,1,2020,25 DE MAYO,591,10035
2020-01-07,7,1,2020,25 DE MAYO,593,6672
2020-01-07,7,1,2020,BATAN,715,9167
2020-01-07,7,1,2020,PERALTA RAMOS,717,5834
2020-01-08,8,1,2020,25 DE MAYO,501,900
2020-01-08,8,1,2020,PERALTA RAMOS,511,37249
2020-01-08,8,1,2020,PERALTA RAMOS,512,6605
2020-01-08,8,1,2020,25 DE MAYO,521,10905
2020-01-08,8,1,2020,25 DE MAYO,522,12269
2020-01-08,8,1,2020,25 DE MAYO,523,17743
2020-01-08,8,1,2020,25 DE MAYO,525,2467
2020-01-08,8,1,2020,12 DE OCTUBRE,531,10728
2020-01-08,8,1,2020,12 DE OCTUBRE,532,13265
2020-01-08,8,1,2020,12 DE OCTUBRE,533,6148
2020-01-08,8,1,2020,25 DE MAYO,541,9674
2020-01-08,8,1,2020,25 DE MAYO,542,15112
2020-01-08,8,1,2020,25 DE MAYO,543,681
2020-01-08,8,1,2020,25 DE MAYO,551,18793
2020-01-08,8,1,2020,25 DE MAYO,552,14997
2020-01-08,8,1,2020,25 DE MAYO,553,6910
2020-01-08,8,1,2020,25 DE MAYO,554,9571
2020-01-08,8,1,2020,25 DE MAYO,555,11687
2020-01-08,8,1,2020,EL LIBERTADOR,562,17669
2020-01-08,8,1,2020,EL LIBERTADOR,563,12347
2020-01-08,8,1,2020,25 DE MAYO,571,22468
2020-01-08,8,1,2020,25 DE MAYO,573,15884
2020-01-08,8,1,2020,25 DE MAYO,581,11174
2020-01-08,8,1,2020,25 DE MAYO,591,10699
2020-01-08,8,1,2020,25 DE MAYO,593,5194
2020-01-08,8,1,2020,BATAN,715,9034
2020-01-08,8,1,2020,PERALTA RAMOS,717,5325
2020-01-09,9,1,2020,25 DE MAYO,501,874
2020-01-09,9,1,2020,PERALTA RAMOS,511,37561
2020-01-09,9,1,2020,PERALTA RAMOS,512,6599
2020-01-09,9,1,2020,25 DE MAYO,521,10152
2020-01-09,9,1,2020,25 DE MAYO,522,13808
2020-01-09,9,1,2020,25 DE MAYO,523,20126
2020-01-09,9,1,2020,25 DE MAYO,525,1626
2020-01-09,9,1,2020,12 DE OCTUBRE,531,11858
2020-01-09,9,1,2020,12 DE OCTUBRE,532,10955
2020-01-09,9,1,2020,12 DE OCTUBRE,533,7065
2020-01-09,9,1,2020,25 DE MAYO,541,8779
2020-01-09,9,1,2020,25 DE MAYO,542,14739
2020-01-09,9,1,2020,25 DE MAYO,551,21404
2020-01-09,9,1,2020,25 DE MAYO,552,15370
2020-01-09,9,1,2020,25 DE MAYO,553,6729
2020-01-09,9,1,2020,25 DE MAYO,554,8677
2020-01-09,9,1,2020,25 DE MAYO,555,10113
2020-01-09,9,1,2020,EL LIBERTADOR,562,18285
2020-01-09,9,1,2020,EL LIBERTADOR,563,13212
2020-01-09,9,1,2020,25 DE MAYO,571,21261
2020-01-09,9,1,2020,25 DE MAYO,573,17218
2020-01-09,9,1,2020,25 DE MAYO,581,12750
2020-01-09,9,1,2020,25 DE MAYO,591,8517
2020-01-09,9,1,2020,25 DE MAYO,593,5616
2020-01-09,9,1,2020,BATAN,715,8962
2020-01-09,9,1,2020,PERALTA RAMOS,717,5497
2020-01-10,10,1,2020,25 DE MAYO,501,789
2020-01-10,10,1,2020,PERALTA RAMOS,511,35177
2020-01-10,10,1,2020,PERALTA RAMOS,512,6323
2020-01-10,10,1,2020,25 DE MAYO,521,8687
2020-01-10,10,1,2020,25 DE MAYO,522,11885
2020-01-10,10,1,2020,25 DE MAYO,523,16084
2020-01-10,10,1,2020,25 DE MAYO,525,2388
2020-01-10,10,1,2020,12 DE OCTUBRE,531,10520
2020-01-10,10,1,2020,12 DE OCTUBRE,532,8884
2020-01-10,10,1,2020,12 DE OCTUBRE,533,4884
2020-01-10,10,1,2020,25 DE MAYO,541,8475
2020-01-10,10,1,2020,25 DE MAYO,542,14931
2020-01-10,10,1,2020,25 DE MAYO,551,18438
2020-01-10,10,1,2020,25 DE MAYO,552,13911
2020-01-10,10,1,2020,25 DE MAYO,553,8143
2020-01-10,10,1,2020,25 DE MAYO,554,6871
2020-01-10,10,1,2020,25 DE MAYO,555,7524
2020-01-10,10,1,2020,EL LIBERTADOR,562,15276
2020-01-10,10,1,2020,EL LIBERTADOR,563,11339
2020-01-10,10,1,2020,25 DE MAYO,571,16625
2020-01-10,10,1,2020,25 DE MAYO,573,15192
2020-01-10,10,1,2020,25 DE MAYO,581,11157
2020-01-10,10,1,2020,25 DE MAYO,591,9444
2020-01-10,10,1,2020,25 DE MAYO,593,5325
2020-01-10,10,1,2020,BATAN,715,7928
2020-01-10,10,1,2020,PERALTA RAMOS,717,5605
2020-01-11,11,1,2020,25 DE MAYO,501,882
2020-01-11,11,1,2020,PERALTA RAMOS,511,34228
2020-01-11,11,1,2020,PERALTA RAMOS,512,5393
2020-01-11,11,1,2020,25 DE MAYO,521,9017
2020-01-11,11,1,2020,25 DE MAYO,522,12257
2020-01-11,11,1,2020,25 DE MAYO,523,13761
2020-01-11,11,1,2020,25 DE MAYO,525,2325
2020-01-11,11,1,2020,12 DE OCTUBRE,531,11432
2020-01-11,11,1,2020,12 DE OCTUBRE,532,7861
2020-01-11,11,1,2020,12 DE OCTUBRE,533,5260
2020-01-11,11,1,2020,25 DE MAYO,541,6873
2020-01-11,11,1,2020,25 DE MAYO,542,12771
2020-01-11,11,1,2020,25 DE MAYO,551,16032
2020-01-11,11,1,2020,25 DE MAYO,552,14002
2020-01-11,11,1,2020,25 DE MAYO,553,6504
2020-01-11,11,1,2020,25 DE MAYO,554,6380
2020-01-11,11,1,2020,25 DE MAYO,555,8170
2020-01-11,11,1,2020,EL LIBERTADOR,562,13822
2020-01-11,11,1,2020,EL LIBERTADOR,563,8713
2020-01-11,11,1,2020,25 DE MAYO,571,19604
2020-01-11,11,1,2020,25 DE MAYO,573,11607
2020-01-11,11,1,2020,25 DE MAYO,581,11822
2020-01-11,11,1,2020,25 DE MAYO,591,7139
2020-01-11,11,1,2020,25 DE MAYO,593,4967
2020-01-11,11,1,2020,BATAN,715,6827
2020-01-11,11,1,2020,PERALTA RAMOS,717,5450
2020-01-12,12,1,2020,25 DE MAYO,501,668
2020-01-12,12,1,2020,PERALTA RAMOS,511,25755
2020-01-12,12,1,2020,PERALTA RAMOS,512,2934
2020-01-12,12,1,2020,25 DE MAYO,521,3804
2020-01-12,12,1,2020,25 DE MAYO,522,10179
2020-01-12,12,1,2020,25 DE MAYO,523,10985
2020-01-12,12,1,2020,25 DE MAYO,525,1027
2020-01-12,12,1,2020,12 DE OCTUBRE,531,7758
2020-01-12,12,1,2020,12 DE OCTUBRE,532,5231
2020-01-12,12,1,2020,12 DE OCTUBRE,533,4601
2020-01-12,12,1,2020,25 DE MAYO,541,4341
2020-01-12,12,1,2020,25 DE MAYO,542,8556
2020-01-12,12,1,2020,25 DE MAYO,543,638
2020-01-12,12,1,2020,25 DE MAYO,551,11382
2020-01-12,12,1,2020,25 DE MAYO,552,8792
2020-01-12,12,1,2020,25 DE MAYO,553,2378
2020-01-12,12,1,2020,25 DE MAYO,554,4295
2020-01-12,12,1,2020,25 DE MAYO,555,5317
2020-01-12,12,1,2020,EL LIBERTADOR,562,9246
2020-01-12,12,1,2020,EL LIBERTADOR,563,5593
2020-01-12,12,1,2020,25 DE MAYO,571,12649
2020-01-12,12,1,2020,25 DE MAYO,573,9811
2020-01-12,12,1,2020,25 DE MAYO,581,8656
2020-01-12,12,1,2020,25 DE MAYO,591,5210
2020-01-12,12,1,2020,25 DE MAYO,593,4864
2020-01-12,12,1,2020,BATAN,715,4570
2020-01-12,12,1,2020,PERALTA RAMOS,717,5019
2020-01-13,13,1,2020,25 DE MAYO,501,904
2020-01-13,13,1,2020,PERALTA RAMOS,511,36974
2020-01-13,13,1,2020,PERALTA RAMOS,512,7381
2020-01-13,13,1,2020,25 DE MAYO,521,9041
2020-01-13,13,1,2020,25 DE MAYO,522,14367
2020-01-13,13,1,2020,25 DE MAYO,523,17285
2020-01-13,13,1,2020,25 DE MAYO,525,1580
2020-01-13,13,1,2020,12 DE OCTUBRE,531,9502
2020-01-13,13,1,2020,12 DE OCTUBRE,532,12934
2020-01-13,13,1,2020,12 DE OCTUBRE,533,5978
2020-01-13,13,1,2020,25 DE MAYO,541,9444
2020-01-13,13,1,2020,25 DE MAYO,542,15489
2020-01-13,13,1,2020,25 DE MAYO,551,23094
2020-01-13,13,1,2020,25 DE MAYO,552,16103
2020-01-13,13,1,2020,25 DE MAYO,553,2985
2020-01-13,13,1,2020,25 DE MAYO,554,8978
2020-01-13,13,1,2020,25 DE MAYO,555,10284
2020-01-13,13,1,2020,EL LIBERTADOR,562,18918
2020-01-13,13,1,2020,EL LIBERTADOR,563,12117
2020-01-13,13,1,2020,25 DE MAYO,571,19363
2020-01-13,13,1,2020,25 DE MAYO,573,17796
2020-01-13,13,1,2020,25 DE MAYO,581,8569
2020-01-13,13,1,2020,25 DE MAYO,591,10199
2020-01-13,13,1,2020,25 DE MAYO,593,5585
2020-01-13,13,1,2020,BATAN,715,8828
2020-01-13,13,1,2020,PERALTA RAMOS,717,5677
2020-01-14,14,1,2020,25 DE MAYO,501,906
2020-01-14,14,1,2020,PERALTA RAMOS,511,36489
2020-01-14,14,1,2020,PERALTA RAMOS,512,6566
2020-01-14,14,1,2020,25 DE MAYO,521,8239
2020-01-14,14,1,2020,25 DE MAYO,522,16378
2020-01-14,14,1,2020,25 DE MAYO,523,17284
2020-01-14,14,1,2020,25 DE MAYO,525,2015
2020-01-14,14,1,2020,12 DE OCTUBRE,531,9138
2020-01-14,14,1,2020,12 DE OCTUBRE,532,14891
2020-01-14,14,1,2020,12 DE OCTUBRE,533,4502
2020-01-14,14,1,2020,25 DE MAYO,541,9124
2020-01-14,14,1,2020,25 DE MAYO,542,16240
2020-01-14,14,1,2020,25 DE MAYO,551,22952
2020-01-14,14,1,2020,25 DE MAYO,552,14349
2020-01-14,14,1,2020,25 DE MAYO,553,4428
2020-01-14,14,1,2020,25 DE MAYO,554,7605
2020-01-14,14,1,2020,25 DE MAYO,555,10807
2020-01-14,14,1,2020,EL LIBERTADOR,562,18684
2020-01-14,14,1,2020,EL LIBERTADOR,563,12028
2020-01-14,14,1,2020,25 DE MAYO,571,20034
2020-01-14,14,1,2020,25 DE MAYO,573,17231
2020-01-14,14,1,2020,25 DE MAYO,581,8605
2020-01-14,14,1,2020,25 DE MAYO,591,8039
2020-01-14,14,1,2020,25 DE MAYO,593,5683
2020-01-14,14,1,2020,BATAN,715,8398
2020-01-14,14,1,2020,PERALTA RAMOS,717,5577
2020-01-15,15,1,2020,25 DE MAYO,501,522
2020-01-15,15,1,2020,PERALTA RAMOS,511,38084
2020-01-15,15,1,2020,PERALTA RAMOS,512,6658
2020-01-15,15,1,2020,25 DE MAYO,521,9014
2020-01-15,15,1,2020,25 DE MAYO,522,15313
2020-01-15,15,1,2020,25 DE MAYO,523,17039
2020-01-15,15,1,2020,25 DE MAYO,525,2229
2020-01-15,15,1,2020,12 DE OCTUBRE,531,9157
2020-01-15,15,1,2020,12 DE OCTUBRE,532,14440
2020-01-15,15,1,2020,12 DE OCTUBRE,533,5784
2020-01-15,15,1,2020,25 DE MAYO,541,10444
2020-01-15,15,1,2020,25 DE MAYO,542,16511
2020-01-15,15,1,2020,25 DE MAYO,551,22410
2020-01-15,15,1,2020,25 DE MAYO,552,14485
2020-01-15,15,1,2020,25 DE MAYO,553,6138
2020-01-15,15,1,2020,25 DE MAYO,554,9167
2020-01-15,15,1,2020,25 DE MAYO,555,9286
2020-01-15,15,1,2020,EL LIBERTADOR,562,19516
2020-01-15,15,1,2020,EL LIBERTADOR,563,12430
2020-01-15,15,1,2020,25 DE MAYO,571,21035
2020-01-15,15,1,2020,25 DE MAYO,573,17592
2020-01-15,15,1,2020,25 DE MAYO,581,9362
2020-01-15,15,1,2020,25 DE MAYO,591,9681
2020-01-15,15,1,2020,25 DE MAYO,593,5219
2020-01-15,15,1,2020,BATAN,715,9563
2020-01-15,15,1,2020,PERALTA RAMOS,717,5915
2020-01-16,16,1,2020,25 DE MAYO,501,889
2020-01-16,16,1,2020,PERALTA RAMOS,511,37761
2020-01-16,16,1,2020,PERALTA RAMOS,512,6279
2020-01-16,16,1,2020,25 DE MAYO,521,10886
2020-01-16,16,1,2020,25 DE MAYO,522,13770
2020-01-16,16,1,2020,25 DE MAYO,523,16003
2020-01-16,16,1,2020,25 DE MAYO,525,2548
2020-01-16,16,1,2020,12 DE OCTUBRE,531,10950
2020-01-16,16,1,2020,12 DE OCTUBRE,532,14428
2020-01-16,16,1,2020,12 DE OCTUBRE,533,4276
2020-01-16,16,1,2020,25 DE MAYO,541,8900
2020-01-16,16,1,2020,25 DE MAYO,542,16093
2020-01-16,16,1,2020,25 DE MAYO,551,22495
2020-01-16,16,1,2020,25 DE MAYO,552,14862
2020-01-16,16,1,2020,25 DE MAYO,553,4370
2020-01-16,16,1,2020,25 DE MAYO,554,9452
2020-01-16,16,1,2020,25 DE MAYO,555,10772
2020-01-16,16,1,2020,EL LIBERTADOR,562,20149
2020-01-16,16,1,2020,EL LIBERTADOR,563,11669
2020-01-16,16,1,2020,25 DE MAYO,571,21078
2020-01-16,16,1,2020,25 DE MAYO,573,17026
2020-01-16,16,1,2020,25 DE MAYO,581,9668
2020-01-16,16,1,2020,25 DE MAYO,591,9431
2020-01-16,16,1,2020,25 DE MAYO,593,6453
2020-01-16,16,1,2020,BATAN,715,9322
2020-01-16,16,1,2020,PERALTA RAMOS,717,6032
2020-01-17,17,1,2020,25 DE MAYO,501,1020
2020-01-17,17,1,2020,PERALTA RAMOS,511,39731
2020-01-17,17,1,2020,PERALTA RAMOS,512,7754
2020-01-17,17,1,2020,25 DE MAYO,521,9965
2020-01-17,17,1,2020,25 DE MAYO,522,15434
2020-01-17,17,1,2020,25 DE MAYO,523,18546
2020-01-17,17,1,2020,25 DE MAYO,525,2820
2020-01-17,17,1,2020,12 DE OCTUBRE,531,9719
2020-01-17,17,1,2020,12 DE OCTUBRE,532,16353
2020-01-17,17,1,2020,12 DE OCTUBRE,533,5565
2020-01-17,17,1,2020,25 DE MAYO,541,10418
2020-01-17,17,1,2020,25 DE MAYO,542,17057
2020-01-17,17,1,2020,25 DE MAYO,551,23316
2020-01-17,17,1,2020,25 DE MAYO,552,15388
2020-01-17,17,1,2020,25 DE MAYO,553,6296
2020-01-17,17,1,2020,25 DE MAYO,554,9522
2020-01-17,17,1,2020,25 DE MAYO,555,11711
2020-01-17,17,1,2020,EL LIBERTADOR,562,20252
2020-01-17,17,1,2020,EL LIBERTADOR,563,13384
2020-01-17,17,1,2020,25 DE MAYO,571,18882
2020-01-17,17,1,2020,25 DE MAYO,573,21556
2020-01-17,17,1,2020,25 DE MAYO,581,11467
2020-01-17,17,1,2020,25 DE MAYO,591,10673
2020-01-17,17,1,2020,25 DE MAYO,593,6412
2020-01-17,17,1,2020,BATAN,715,9898
2020-01-17,17,1,2020,PERALTA RAMOS,717,6123
2020-01-18,18,1,2020,25 DE MAYO,501,934
2020-01-18,18,1,2020,PERALTA RAMOS,511,35450
2020-01-18,18,1,2020,PERALTA RAMOS,512,4658
2020-01-18,18,1,2020,25 DE MAYO,521,8202
2020-01-18,18,1,2020,25 DE MAYO,522,11310
2020-01-18,18,1,2020,25 DE MAYO,523,17790
2020-01-18,18,1,2020,25 DE MAYO,525,1444
2020-01-18,18,1,2020,12 DE OCTUBRE,531,6960
2020-01-18,18,1,2020,12 DE OCTUBRE,532,13765
2020-01-18,18,1,2020,12 DE OCTUBRE,533,3994
2020-01-18,18,1,2020,25 DE MAYO,541,8262
2020-01-18,18,1,2020,25 DE MAYO,542,12125
2020-01-18,18,1,2020,25 DE MAYO,551,18287
2020-01-18,18,1,2020,25 DE MAYO,552,11877
2020-01-18,18,1,2020,25 DE MAYO,553,4908
2020-01-18,18,1,2020,25 DE MAYO,554,7397
2020-01-18,18,1,2020,25 DE MAYO,555,8610
2020-01-18,18,1,2020,EL LIBERTADOR,562,14509
2020-01-18,18,1,2020,EL LIBERTADOR,563,8953
2020-01-18,18,1,2020,25 DE MAYO,571,16350
2020-01-18,18,1,2020,25 DE MAYO,573,15800
2020-01-18,18,1,2020,25 DE MAYO,581,12316
2020-01-18,18,1,2020,25 DE MAYO,591,5918
2020-01-18,18,1,2020,25 DE MAYO,593,4752
2020-01-18,18,1,2020,BATAN,715,6673
2020-01-18,18,1,2020,PERALTA RAMOS,717,5389
2020-01-19,19,1,2020,25 DE MAYO,501,630
2020-01-19,19,1,2020,PERALTA RAMOS,511,27802
2020-01-19,19,1,2020,PERALTA RAMOS,512,3717
2020-01-19,19,1,2020,25 DE MAYO,521,4434
2020-01-19,19,1,2020,25 DE MAYO,522,10716
2020-01-19,19,1,2020,25 DE MAYO,523,13554
2020-01-19,19,1,2020,25 DE MAYO,525,1220
2020-01-19,19,1,2020,12 DE OCTUBRE,531,6939
2020-01-19,19,1,2020,12 DE OCTUBRE,532,8493
2020-01-19,19,1,2020,12 DE OCTUBRE,533,3002
2020-01-19,19,1,2020,25 DE MAYO,541,5132
2020-01-19,19,1,2020,25 DE MAYO,542,9043
2020-01-19,19,1,2020,25 DE MAYO,551,11020
2020-01-19,19,1,2020,25 DE MAYO,552,10310
2020-01-19,19,1,2020,25 DE MAYO,553,2938
